ID,Date,Zone,Lat,Long,Meter Number,Reason for Over Abstraction,HouseHolds,Type of Housing,Main Pipe Length,Daily Abstraction Avg,Water Kiosks,Car Wash and Hotels,Schools,Churches,Farming,Over Abstraction
6,7/7/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Other_Acts,179,single units rentals,1604,134.25,2,0,1,2,1,4
1,15/07/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,2
4,16/07/2015,Upper Kayole,0.748353,36.466414,WT11-06''-12842,LK_2,169,mixed rental storied (2 bedroomed plus) and family units,1750,126.75,0,0,0,0,3,4
6,23/07/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,179,single units rentals,1604,134.25,2,0,1,2,1,2
1,10/7/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,2
5,17/07/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,New_Cons,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,8
10,24/07/2015,mirema,0.746781,36.456256,WT11-6''-12905,Mt_Pb,150,single family units,1455,112.5,0,0,1,2,4,4
7,6/7/2015,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,Htl_Inds,45,single units rentals,3775,33.75,0,0,1,5,1,40
10,20/07/2015,mirema,0.746781,36.456256,WT11-6''-12905,LK_1,150,single family units,1455,112.5,0,0,1,2,4,8
10,14/07/2015,mirema,0.746781,36.456256,WT11-6''-12905,LK_1,150,single family units,1455,112.5,0,0,1,2,4,8
10,15/07/2015,mirema,0.746781,36.456256,WT11-6''-12905,LK_3,150,single family units,1455,112.5,0,0,1,2,4,8
1,15/07/2015,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,1
1,15/07/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,4
11,17/07/2015,mirema,0.747003,36.452739,WT11-6-08-07022,LK_3,136,single family units,1230,102,0,0,0,0,4,8
1,17/07/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,2
1,27/07/2015,park view,0.744511,36.462356,WT-4''-96-4997,Rare_Acts,69,single family units,3480,51.75,2,1,0,2,3,8
3,30/07/2015,Upper Kayole,0.747153,36.465,WT11-6''-1269,LK_3,79,rentals storied (2 bedroomed plus),2120,59.25,1,2,0,1,2,8
6,5/8/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,2
9,12/8/2015,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,LK_3,220,one bedroomed plus,2600,165,2,2,0,0,1,8
1,3/8/2015,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,1
5,10/8/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,LK_3,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,40
10,14/08/2015,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,4
6,17/08/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Insts,179,single units rentals,1604,134.25,2,0,1,2,1,8
5,24/08/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Illegal_Abs,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,7
6,4/8/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,179,single units rentals,1604,134.25,2,0,1,2,1,1
5,12/8/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Other_Acts,47,mixed rentals and homes,1650,35.25,1,3,1,3,4,4
6,19/08/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Insts,179,single units rentals,1604,134.25,2,0,1,2,1,8
1,28/08/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,2
1,17/08/2015,park view,0.744511,36.462356,WT-4''-96-4997,Insts,69,single family units,3480,51.75,2,1,0,2,3,8
1,17/08/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,2
5,17/08/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Mt_Pb,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,1
6,4/8/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,179,single units rentals,1604,134.25,2,0,1,2,1,8
9,20/08/2015,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,LK_3,181,one bedroomed plus,2600,135.75,2,2,0,0,1,4
10,28/08/2015,mirema,0.746781,36.456256,WT11-6''-12905,Mt_Pb,150,single family units,1455,112.5,0,0,1,2,4,4
12,1/9/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,74,single family units,960,55.5,0,0,0,0,4,2
2,7/9/2015,park view,0.745786,36.463575,WT-4''-96-4969,Mt_Pb,8,mixed family and single rentals,4230,6,0,0,0,0,2,4
1,1/9/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,4
3,8/9/2015,Upper Kayole,0.747153,36.465,WT11-6''-1269,Htl_Inds,125,rentals storied (2 bedroomed plus),2120,93.75,1,2,0,1,2,8
7,9/9/2015,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,Mt_Pb,45,single units rentals,3775,33.75,0,0,1,5,1,2
2,13/09/2015,park view,0.745786,36.463575,WT-4''-96-4969,Mt_Pb,8,mixed family and single rentals,4230,6,0,0,0,0,2,3
1,14/09/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,3
8,24/09/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Mt_Pb,181,Single Units rentals,1710,135.75,0,0,0,3,1,4
10,4/9/2015,mirema,0.746781,36.456256,WT11-6''-12905,New_Cons,150,single family units,1455,112.5,0,0,1,2,4,8
8,14/09/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,LK_3,181,Single Units rentals,1710,135.75,0,0,0,3,1,32
10,21/09/2015,mirema,0.746781,36.456256,WT11-6''-12905,0,150,single family units,1455,112.5,0,0,1,2,4,0
12,28/09/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",0,115,single family units,960,86.25,0,0,0,0,4,0
12,8/9/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,2
2,15/09/2015,park view,0.745786,36.463575,WT-4''-96-4969,Mt_Pb,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
6,22/09/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,0,179,single units rentals,1604,134.25,2,0,1,2,1,0
12,16/09/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Insts,115,single family units,960,86.25,0,0,0,0,4,3
1,23/09/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,3
6,30/09/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,0,259,single units rentals,1604,194.25,2,0,1,2,1,0
6,11/9/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,1
1,18/09/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,3
10,25/09/2015,mirema,0.746781,36.456256,WT11-6''-12905,Mt_Pb,150,single family units,1455,112.5,0,0,1,2,4,4
1,6/10/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,3
2,13/10/2015,park view,0.745786,36.463575,WT-4''-96-4969,Mt_Pb,8,mixed family and single rentals,4230,6,0,0,0,0,2,3
11,15/10/2015,mirema,0.747003,36.452739,WT11-6-08-07022,Mt_Pb,69,single family units,1230,51.75,0,0,0,0,4,1
1,16/10/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,3
12,16/10/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,3
2,6/10/2015,park view,0.745786,36.463575,WT-4''-96-4969,Mt_Pb,8,mixed family and single rentals,4230,6,0,0,0,0,2,3
12,14/10/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,2
6,21/10/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,2
8,22/10/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Mt_Pb,181,Single Units rentals,1710,135.75,0,0,0,3,1,5
1,21/10/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,8
12,21/10/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,3
10,22/10/2015,mirema,0.746781,36.456256,WT11-6''-12905,Htl_Inds,150,single family units,1455,112.5,0,0,1,2,4,16
8,13/10/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,LK_3,181,Single Units rentals,1710,135.75,0,0,0,3,1,8
12,20/10/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,2
6,21/10/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Other_Acts,179,single units rentals,1604,134.25,2,0,1,2,1,8
5,23/10/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Mt_Pb,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,1
10,30/10/2015,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,3
1,5/11/2015,park view,0.744511,36.462356,WT-4''-96-4997,Mt_Pb,69,single family units,3480,51.75,2,1,0,2,3,1
12,4/11/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,1
1,5/11/2015,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,8
9,12/11/2015,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Rare_Acts,69,one bedroomed plus,2600,51.75,2,2,0,0,1,8
8,19/11/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Mt_Pb,181,Single Units rentals,1710,135.75,0,0,0,3,1,5
7,2/11/2015,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,LK_3,45,single units rentals,3775,33.75,0,0,1,5,1,32
3,9/11/2015,Upper Kayole,0.747153,36.465,WT11-6''-1269,New_Cons,79,rentals storied (2 bedroomed plus),2120,59.25,1,2,0,1,2,8
8,16/11/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,LK_3,181,Single Units rentals,1710,135.75,0,0,0,3,1,40
12,18/11/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,1
7,20/11/2015,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,LK_1,45,single units rentals,3775,33.75,0,0,1,5,1,8
12,18/11/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,3
9,25/11/2015,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Rare_Acts,69,one bedroomed plus,2600,51.75,2,2,0,0,1,8
12,20/11/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_3,115,single family units,960,86.25,0,0,0,0,4,3
10,27/11/2015,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,4
6,2/11/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Other_Acts,138,single units rentals,1604,103.5,2,0,1,2,1,1
12,10/11/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,3
6,11/11/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_2,179,single units rentals,1604,134.25,2,0,1,2,1,24
8,26/11/2015,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Mt_Pb,181,Single Units rentals,1710,135.75,0,0,0,3,1,3
6,1/12/2015,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,1
2,1/12/2015,park view,0.745786,36.463575,WT-4''-96-4969,Htl_Inds,8,mixed family and single rentals,4230,6,0,0,0,0,2,64
12,3/12/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,2
10,4/12/2015,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,8
2,8/12/2015,park view,0.745786,36.463575,WT-4''-96-4969,Htl_Inds,8,mixed family and single rentals,4230,6,0,0,0,0,2,56
5,9/12/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,New_Cons,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,8
12,10/12/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,3
10,11/12/2015,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,3
12,15/12/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,2
5,16/12/2015,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,New_Cons,251,mixed rentals and homes,1650,188.25,1,3,1,3,4,8
2,11/12/2015,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
11,18/12/2015,mirema,0.747003,36.452739,WT11-6-08-07022,Htl_Inds,136,single family units,1230,102,0,0,0,0,4,8
12,18/12/2015,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,2
12,6/1/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,1
2,4/1/2016,park view,0.745786,36.463575,WT-4''-96-4969,Htl_Inds,8,mixed family and single rentals,4230,6,0,0,0,0,2,1
2,5/1/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,1
7,5/1/2016,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,Insts,45,single units rentals,3775,33.75,0,0,1,5,1,8
12,6/1/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,2
12,7/1/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,74,single family units,960,55.5,0,0,0,0,4,2
12,7/1/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,2
12,8/1/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,1
2,11/1/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
12,12/1/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,2
2,12/1/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
2,13/01/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
2,14/01/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
2,15/01/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
2,11/1/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
2,12/1/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
11,12/1/2016,mirema,0.747003,36.452739,WT11-6-08-07022,Insts,69,single family units,1230,51.75,0,0,0,0,4,8
6,12/1/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Insts,179,single units rentals,1604,134.25,2,0,1,2,1,8
2,13/01/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
12,21/01/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,74,single family units,960,55.5,0,0,0,0,4,2
2,28/01/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,2
2,25/01/2016,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,0
12,26/01/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,1
6,28/01/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,New_Cons,179,single units rentals,1604,134.25,2,0,1,2,1,3
12,5/2/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,74,single family units,960,55.5,0,0,0,0,4,1
11,3/2/2016,mirema,0.747003,36.452739,WT11-6-08-07022,LK_1,136,single family units,1230,102,0,0,0,0,4,8
1,10/2/2016,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,8
7,11/2/2016,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,Other_Acts,45,single units rentals,3775,33.75,0,0,1,5,1,2
3,11/2/2016,Upper Kayole,0.747153,36.465,WT11-6''-1269,Mt_Pb,79,rentals storied (2 bedroomed plus),2120,59.25,1,2,0,1,2,8
10,12/2/2016,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,2
6,12/2/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,New_Cons,179,single units rentals,1604,134.25,2,0,1,2,1,8
6,8/2/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_3,278,single units rentals,1604,208.5,2,0,1,2,1,8
6,9/2/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_1,278,single units rentals,1604,208.5,2,0,1,2,1,8
12,15/02/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Other_Acts,115,single family units,960,86.25,0,0,0,0,4,2
12,9/2/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,2
11,16/02/2016,mirema,0.747003,36.452739,WT11-6-08-07022,Mt_Pb,69,single family units,1230,51.75,0,0,0,0,4,1
12,23/02/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,74,single family units,960,55.5,0,0,0,0,4,8
12,25/02/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,115,single family units,960,86.25,0,0,0,0,4,3
9,15/02/2016,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Insts,220,one bedroomed plus,2600,165,2,2,0,0,1,8
9,16/02/2016,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Mt_Pb,220,one bedroomed plus,2600,165,2,2,0,0,1,1
12,17/02/2016,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,115,single family units,960,86.25,0,0,0,0,4,1
3,25/02/2016,Upper Kayole,0.747153,36.465,WT11-6''-1269,Htl_Inds,79,rentals storied (2 bedroomed plus),2120,59.25,1,2,0,1,2,8
9,1/3/2016,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Other_Acts,181,one bedroomed plus,2600,135.75,2,2,0,0,1,2
10,1/3/2016,mirema,0.746781,36.456256,WT11-6''-12905,Htl_Inds,150,single family units,1455,112.5,0,0,1,2,4,8
5,8/3/2016,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,Htl_Inds,47,mixed rentals and homes,1650,35.25,1,3,1,3,4,3
9,15/03/2016,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Rare_Acts,69,one bedroomed plus,2600,51.75,2,2,0,0,1,8
8,16/03/2016,Lower Kayole,0.748819,36.465983,WT11-6''-2949,New_Cons,181,Single Units rentals,1710,135.75,0,0,0,3,1,8
10,2/3/2016,mirema,0.746781,36.456256,WT11-6''-12905,LK_3,150,single family units,1455,112.5,0,0,1,2,4,8
11,3/3/2016,mirema,0.747003,36.452739,WT11-6-08-07022,LK_3,69,single family units,1230,51.75,0,0,0,0,4,8
6,4/3/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_3,138,single units rentals,1604,103.5,2,0,1,2,1,3
10,4/3/2016,mirema,0.746781,36.456256,WT11-6''-12905,LK_3,150,single family units,1455,112.5,0,0,1,2,4,40
9,7/3/2016,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,LK_3,69,one bedroomed plus,2600,51.75,2,2,0,0,1,40
7,14/03/2016,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,LK_1,45,single units rentals,3775,33.75,0,0,1,5,1,16
10,21/03/2016,mirema,0.746781,36.456256,WT11-6''-12905,Other_Acts,150,single family units,1455,112.5,0,0,1,2,4,16
7,22/03/2016,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,LK_3,45,single units rentals,3775,33.75,0,0,1,5,1,8
6,24/03/2016,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,LK_1,179,single units rentals,1604,134.25,2,0,1,2,1,8
